age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_55_59,Michigan,26,201,189,390,47.3509012003809,41.5338052588571,53.1679971419048,.,.,.
_60_65,Michigan,26,289,322,611,45.3106192729904,40.5367518795005,50.0844866664803,.,.,.
_21_24,Minnesota,27,84,160,244,30.5293513825796,23.3316816505021,37.7270211146571,.,.,.
_25_29,Minnesota,27,138,202,340,35.1791254988772,28.9986749657936,41.3595760319608,.,.,.
_30_34,Minnesota,27,176,226,402,41.4548629217498,35.7380576433696,47.17166820013,.,.,.
_35_39,Minnesota,27,219,240,459,42.1703254358632,36.7035568065867,47.6370940651398,.,.,.
_40_44,Minnesota,27,310,234,544,54.6020221476818,49.4256997075392,59.7783445878243,.,.,.
_45_49,Minnesota,27,265,227,492,49.103050341882,43.760202800711,54.4458978830529,.,.,.
_50_54,Minnesota,27,312,268,580,52.791588210576,47.5992800038594,57.9838964172925,.,.,.
_55_59,Minnesota,27,334,331,665,48.8102000212505,43.9889914380575,53.6314086044435,.,.,.
_60_65,Minnesota,27,437,523,960,42.7458457274878,38.5924607556576,46.899230699318,.,.,.
_21_24,Mississippi,28,29,82,111,22.5427631672604,13.8128918871475,31.2726344473732,.,.,.
_25_29,Mississippi,28,48,81,129,40.142861921843,28.9732393222736,51.3124845214124,.,.,.
_30_34,Mississippi,28,62,75,137,47.2522344720738,37.325203000553,57.1792659435946,.,.,.
_35_39,Mississippi,28,65,92,157,36.9794443794722,27.6652377050855,46.293651053859,.,.,.
_40_44,Mississippi,28,55,93,148,40.1351783099382,29.5728487783735,50.697507841503,.,.,.
_45_49,Mississippi,28,78,95,173,46.7684199215185,38.0535928036984,55.4832470393386,.,.,.
_50_54,Mississippi,28,84,88,172,45.6479639198402,36.5898652753273,54.7060625643531,.,.,.
_55_59,Mississippi,28,71,116,187,37.9195041680558,29.1336798209008,46.7053285152108,.,.,.
_60_65,Mississippi,28,74,134,208,30.4234122666271,23.1069404425271,37.7398840907271,.,.,.
_21_24,Missouri,29,55,90,145,32.0071095589799,23.2866078222961,40.7276112956638,.,.,.
_25_29,Missouri,29,81,111,192,39.3242298353297,29.9231249662738,48.7253347043855,.,.,.
_30_34,Missouri,29,103,114,217,46.3205584814441,38.26237084216,54.3787461207283,.,.,.
_35_39,Missouri,29,115,102,217,52.2908178914097,43.7266536831118,60.8549820997075,.,.,.
_40_44,Missouri,29,99,87,186,52.6691249859666,42.7201116973577,62.6181382745755,.,.,.
_45_49,Missouri,29,115,97,212,49.9086107547082,40.3715391658459,59.4456823435705,.,.,.
_50_54,Missouri,29,115,138,253,44.543410257265,36.5731476961595,52.5136728183705,.,.,.
_55_59,Missouri,29,115,144,259,44.7223046522413,36.3492144244292,53.0953948800534,.,.,.
_60_65,Missouri,29,158,288,446,37.0970897812735,31.084504400789,43.109675161758,.,.,.
_21_24,Montana,30,38,55,93,36.020931672858,26.228649983811,45.813213361905,.,.,.
_25_29,Montana,30,41,59,100,37.4805736900249,26.3953307616842,48.5658166183655,.,.,.
_30_34,Montana,30,70,76,146,45.8680808666846,36.3213779884298,55.4147837449393,.,.,.
_35_39,Montana,30,85,54,139,62.0415573885418,52.0842625337677,71.9988522433159,.,.,.
_40_44,Montana,30,113,88,201,56.8880869297575,48.8596656753342,64.9165081841809,.,.,.
_45_49,Montana,30,97,75,172,54.1441916587982,45.70111566138,62.5872676562165,.,.,.
_50_54,Montana,30,96,85,181,51.7401898767544,43.4593894320289,60.0209903214799,.,.,.
_55_59,Montana,30,108,118,226,50.0824607894444,42.0063648302391,58.1585567486496,.,.,.
_60_65,Montana,30,174,243,417,38.2861626602658,32.8666526962192,43.7056726243125,.,.,.
_21_24,Nebraska,31,32,89,121,25.4853633162181,15.9809626528973,34.9897639795389,.,.,.
_25_29,Nebraska,31,56,80,136,42.1412143392333,31.2496858955894,53.0327427828773,.,.,.
_30_34,Nebraska,31,81,78,159,53.7420692272549,43.759869759074,63.7242686954358,.,.,.
_35_39,Nebraska,31,80,112,192,41.0107853754328,32.2115167584994,49.8100539923662,.,.,.
_40_44,Nebraska,31,112,118,230,53.1076538957927,44.8928166359912,61.3224911555941,.,.,.
_45_49,Nebraska,31,100,96,196,54.0714030591706,45.29819659749,62.8446095208511,.,.,.
