income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$75,000 to < $100,000","District of Columbia",11,1,2,3,.,.,.,.,.,.
"$100,000 to < $200,000","District of Columbia",11,2,5,7,.,.,.,.,.,.
"$200,000 or more","District of Columbia",11,1,4,5,16.9092265343285,10.3100195713196,23.5084334973374,.,.,.
"Don’t know/Not sure/Missing","District of Columbia",11,1,4,5,.,.,.,.,.,.
"Less than $15,000",Florida,12,12,54,66,.,.,.,.,.,.
"$15,000 to < $25,000",Florida,12,30,82,112,25.9008537111274,18.389597759642,33.4121096626128,28.088701119223,18.3133061673945,37.8640960710514
"$25,000 to < $35,000",Florida,12,24,77,101,13.1178070583756,9.45930744081774,16.7763066759334,11.5162224563535,7.0921478803931,15.940297032314
"$35,000 to < $50,000",Florida,12,29,60,89,27.7717067703336,21.0571896241819,34.4862239164854,23.2512679182503,12.6570343787361,33.8455014577645
"$50,000 to < $75,000",Florida,12,33,69,102,19.5348878523012,11.4966506087272,27.5731250958752,16.4388130740402,8.3584309456057,24.5191952024746
"$75,000 to < $100,000",Florida,12,19,40,59,.,.,.,.,.,.
"$100,000 to < $200,000",Florida,12,13,29,42,44.1675032108644,31.4883735817372,56.8466328399916,.,.,.
"$200,000 or more",Florida,12,4,4,8,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Florida,12,29,69,98,30.8271329802894,20.2248668619123,41.4293990986664,31.4240900904344,16.7585169144903,46.0896632663785
"Less than $15,000",Georgia,13,9,36,45,.,.,.,.,.,.
"$15,000 to < $25,000",Georgia,13,14,45,59,23.2513854256799,9.65919835309874,36.8435724982611,.,.,.
"$25,000 to < $35,000",Georgia,13,14,39,53,.,.,.,.,.,.
"$35,000 to < $50,000",Georgia,13,16,36,52,28.6184203056389,12.9851861447825,44.2516544664952,37.1992021713621,15.8422303412356,58.5561740014886
"$50,000 to < $75,000",Georgia,13,11,29,40,21.4450810830045,12.7679542790837,30.1222078869253,23.4850582465547,17.8768934858271,29.0932230072824
"$75,000 to < $100,000",Georgia,13,4,15,19,32.1651161951514,23.2513520079739,41.078880382329,.,.,.
"$100,000 to < $200,000",Georgia,13,7,18,25,16.0638624618632,9.87509683567549,22.2526280880509,.,.,.
"$200,000 or more",Georgia,13,2,3,5,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Georgia,13,9,27,36,.,.,.,.,.,.
"Less than $15,000",Hawaii,15,3,26,29,.,.,.,.,.,.
"$15,000 to < $25,000",Hawaii,15,8,27,35,.,.,.,.,.,.
"$25,000 to < $35,000",Hawaii,15,8,21,29,.,.,.,.,.,.
"$35,000 to < $50,000",Hawaii,15,3,19,22,.,.,.,.,.,.
"$50,000 to < $75,000",Hawaii,15,4,23,27,.,.,.,.,.,.
"$75,000 to < $100,000",Hawaii,15,9,13,22,.,.,.,.,.,.
"$100,000 to < $200,000",Hawaii,15,9,20,29,.,.,.,.,.,.
"$200,000 or more",Hawaii,15,1,3,4,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Hawaii,15,5,12,17,.,.,.,.,.,.
"Less than $15,000",Idaho,16,6,9,15,46.921845217946,20.9266391338513,72.9170513020406,33.0761682588946,32.1643265802269,33.9880099375623
"$15,000 to < $25,000",Idaho,16,6,18,24,34.5451161139065,15.8338435810448,53.2563886467681,42.2608465816683,18.8602052486828,65.6614879146537
"$25,000 to < $35,000",Idaho,16,9,29,38,.,.,.,.,.,.
"$35,000 to < $50,000",Idaho,16,3,13,16,.,.,.,.,.,.
"$50,000 to < $75,000",Idaho,16,3,11,14,41.2005371607163,27.0635891722386,55.337485149194,.,.,.
"$75,000 to < $100,000",Idaho,16,3,6,9,.,.,.,.,.,.
"$100,000 to < $200,000",Idaho,16,1,8,9,7.27758675706759,4.35526755159647,10.1999059625387,.,.,.
"$200,000 or more",Idaho,16,0,3,3,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Idaho,16,6,14,20,23.4476011998992,10.5306458147861,36.3645565850123,30.9313700543237,16.5230273230468,45.3397127856005
"Less than $15,000",Illinois,17,8,13,21,55.7217681783455,23.1229552282982,88.3205811283927,53.9115256681133,25.2956081530938,82.5274431831328
"$15,000 to < $25,000",Illinois,17,6,13,19,.,.,.,.,.,.
"$25,000 to < $35,000",Illinois,17,2,11,13,.,.,.,.,.,.
"$35,000 to < $50,000",Illinois,17,1,10,11,.,.,.,.,.,.
"$50,000 to < $75,000",Illinois,17,5,9,14,.,.,.,.,.,.
"$75,000 to < $100,000",Illinois,17,5,11,16,48.6543101308869,16.2595905149941,81.0490297467797,50.6337553320487,21.448384791709,79.8191258723885
"$100,000 to < $200,000",Illinois,17,5,10,15,.,.,.,.,.,.
"$200,000 or more",Illinois,17,1,9,10,7.93169485937299,7.33012060345342,8.53326911529256,23.8007974208058,23.0153400719239,24.5862547696877
"Don’t know/Not sure/Missing",Illinois,17,0,8,8,.,.,.,.,.,.
"Less than $15,000",Indiana,18,15,41,56,27.5047763867127,13.2975728140507,41.7119799593747,.,.,.
"$15,000 to < $25,000",Indiana,18,35,62,97,37.2861165155676,26.1022961865965,48.4699368445388,36.3242395162944,20.3179142767918,52.330564755797
"$25,000 to < $35,000",Indiana,18,26,58,84,28.8068551307,15.7294563580966,41.8842539033034,25.8427386838966,13.5797003839203,38.1057769838728
"$35,000 to < $50,000",Indiana,18,18,53,71,23.9408555105241,13.7381203259457,34.1435906951025,.,.,.
"$50,000 to < $75,000",Indiana,18,20,45,65,23.9276882362885,13.9709272431751,33.8844492294019,22.2325833682816,10.5253817182548,33.9397850183085
"$75,000 to < $100,000",Indiana,18,10,34,44,.,.,.,.,.,.
"$100,000 to < $200,000",Indiana,18,11,30,41,23.183165815841,13.5978397471531,32.7684918845289,.,.,.
"$200,000 or more",Indiana,18,5,3,8,.,.,.,.,.,.
